Name,Dose,Relative_OD_24hr,Relative_OD_48hr
CAS_rep01,0.025,71.42857143,88.0733945
CAS_rep02,0.025,79.60199005,89.52380952
CAS_rep03,0.025,79.342723,86.5470852
CAS_rep01,0.035,53.91705069,71.55963303
CAS_rep02,0.035,50.24875622,72.38095238
CAS_rep03,0.035,54.4600939,75.78475336
CAS_rep01,0.0525,35.02304147,63.76146789
CAS_rep02,0.0525,52.23880597,68.57142857
CAS_rep03,0.0525,46.00938967,60.98654709
CAS_rep01,0.07,3.3640553,56.42201835
CAS_rep02,0.07,4.328358209,50.47619048
CAS_rep03,0.07,3.802816901,42.60089686
CLO_rep01,0.25,81.02564103,88.26086957
CLO_rep02,0.25,77.83505155,90.29535865
CLO_rep03,0.25,78.87323944,90.12345679
CLO_rep01,0.35,63.58974359,96.52173913
CLO_rep02,0.35,69.07216495,94.51476793
CLO_rep03,0.35,63.84976526,89.71193416
CLO_rep01,0.75,51.28205128,74.34782609
CLO_rep02,0.75,52.57731959,62.44725738
CLO_rep03,0.75,47.88732394,64.19753086
CLO_rep01,1.125,49.74358974,54.7826087
CLO_rep02,1.125,50,53.16455696
CLO_rep03,1.125,35.68075117,50.61728395
CLO_rep01,3.00,31.28205128,52.60869565
CLO_rep02,3.00,39.17525773,49.36708861
CLO_rep03,3.00,34.27230047,50.20576132
CASCLO_rep01,0.035 (CAS) + 0.35 (CLO),11.52073733,49.10714286
CASCLO_rep02,0.035 (CAS) + 0.35 (CLO),17.91044776,64.93506494
CASCLO_rep03,0.035 (CAS) + 0.35 (CLO),22.53521127,69.95708155
CASCLO_rep01,0.035 (CAS) + 0.75 (CLO),0.921658986,0.758928571
CASCLO_rep02,0.035 (CAS) + 0.75 (CLO),1.393034826,0.995670996
CASCLO_rep03,0.035 (CAS) + 0.75 (CLO),1.314553991,1.115879828
CASCLO_rep01,0.0525 (CAS) + 0.525 (CLO),0.460829493,0.535714286
CASCLO_rep02,0.0525 (CAS) + 0.525 (CLO),0.7960199,0.692640693
CASCLO_rep03,0.0525 (CAS) + 0.525 (CLO),0.751173709,0.557939914
CASCLO_rep01,0.0525 (CAS) + 1.125 (CLO),0.552995392,0.357142857
CASCLO_rep02,0.0525 (CAS) + 1.125 (CLO),0.497512438,0.086580087
CASCLO_rep03,0.0525 (CAS) + 1.125 (CLO),0.610328638,0.214592275
