time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1	0	0.12948	0.1463	0.13488	0.1304	0.15478	0.14362	0.12786	0.14028	0.13778	0.13634	0.14076	0.1327	0.129	0.14832	0.1507	0.1375	0.15278	0.16694	0.1407	0.14062	0.13928	0.13354	0.1498	0.1345	0.13456	0.14446	0.16022	0.1575	0.15208	0.15236	0.16966	0.14634	0.15128	0.15446	0.15788	0.14482	0.12434	0.1444	0.14876	0.14594	0.16562	0.15566	0.15102	0.14358	0.15466	0.15598	0.16428	0.15608	0.12932	0.14034	0.16314	0.1449	0.16008	0.16704	0.13864	0.1461	0.1563	0.14524	0.14372	0.14622	0.14012	0.1362	0.15744	0.15948	0.14398	0.16506	0.14134	0.15196	0.16048	0.14524	0.14058	0.14314	0.13766	0.16034	0.13472	0.15894	0.1454	0.1716	0.14512	0.16016	0.16824	0.14882	0.1698	0.14912	0.1462	0.12376	0.13758	0.13242	0.12226	0.15002	0.13382	0.139	0.13718	0.13678	0.15252	0.13776
2	30	0.13032	0.14254	0.13376	0.13034	0.1603	0.15388	0.12856	0.14204	0.14128	0.1376	0.14024	0.1344	0.1297	0.14214	0.14172	0.12496	0.14968	0.17674	0.13642	0.13568	0.1347	0.12612	0.1428	0.13376	0.13484	0.13548	0.15294	0.14858	0.14512	0.14656	0.16358	0.1369	0.1469	0.14972	0.15262	0.14622	0.1243	0.14056	0.1457	0.13426	0.15976	0.14972	0.14466	0.1387	0.14624	0.1543	0.1665	0.15898	0.13112	0.14008	0.16642	0.13988	0.15362	0.16518	0.12936	0.13908	0.15308	0.13852	0.13584	0.14928	0.14324	0.1387	0.16384	0.1532	0.13814	0.16026	0.12738	0.14688	0.15568	0.13546	0.1332	0.14084	0.13934	0.1668	0.13116	0.1602	0.13628	0.17078	0.13288	0.1582	0.17006	0.1407	0.1746	0.1456	0.14672	0.12584	0.14196	0.13944	0.12356	0.16022	0.1396	0.1426	0.14122	0.13956	0.15212	0.14328
3	60	0.13444	0.14556	0.1371	0.13384	0.17016	0.17422	0.1316	0.148	0.14934	0.14412	0.14898	0.13976	0.13284	0.14558	0.14564	0.13028	0.15518	0.19966	0.14382	0.14204	0.14226	0.13078	0.15026	0.13904	0.13854	0.13942	0.1578	0.15402	0.15486	0.16072	0.17352	0.144	0.15492	0.1595	0.15974	0.15396	0.12698	0.1469	0.15358	0.139	0.1722	0.1599	0.15236	0.15082	0.15528	0.16706	0.18966	0.16898	0.13704	0.14902	0.18146	0.14868	0.16396	0.17786	0.13702	0.14742	0.16728	0.14666	0.14256	0.16098	0.15154	0.14856	0.18256	0.16106	0.14956	0.1727	0.1324	0.1604	0.1661	0.1431	0.14122	0.14872	0.14594	0.18452	0.14044	0.17954	0.1459	0.1905	0.13918	0.17648	0.19068	0.15198	0.19368	0.15572	0.15164	0.1305	0.15158	0.14938	0.12846	0.1804	0.15006	0.15246	0.15154	0.1465	0.15862	0.15074
4	90	0.13866	0.15014	0.14106	0.13634	0.17796	0.19336	0.13372	0.15498	0.15626	0.14808	0.15562	0.14318	0.1364	0.1499	0.1497	0.13412	0.15776	0.22006	0.15076	0.14782	0.14824	0.13402	0.15634	0.14334	0.14232	0.14478	0.16248	0.15694	0.16204	0.17208	0.18342	0.15158	0.16182	0.1676	0.16516	0.16086	0.1302	0.15278	0.16066	0.14284	0.18096	0.16988	0.159	0.16262	0.16192	0.17642	0.20784	0.17576	0.1438	0.15686	0.19344	0.1543	0.17426	0.18822	0.143	0.1526	0.17832	0.15246	0.14684	0.17008	0.1618	0.15866	0.19378	0.16624	0.1593	0.184	0.13658	0.1706	0.17468	0.1485	0.1476	0.155	0.15228	0.19554	0.14874	0.19072	0.15328	0.2055	0.14444	0.19062	0.20386	0.15932	0.20924	0.1635	0.15764	0.13504	0.15814	0.15428	0.13254	0.19342	0.15806	0.16086	0.16074	0.1505	0.16314	0.1579
5	120	0.14368	0.15644	0.14686	0.13766	0.18582	0.21802	0.13608	0.16314	0.16364	0.15192	0.16312	0.14772	0.1404	0.15612	0.15446	0.13792	0.15976	0.24192	0.15832	0.1549	0.15512	0.13666	0.16372	0.14896	0.14822	0.15118	0.16934	0.15874	0.16794	0.18696	0.19704	0.16152	0.16912	0.17582	0.16848	0.16876	0.13338	0.16138	0.16916	0.1467	0.18636	0.18228	0.1663	0.17476	0.1683	0.1844	0.22628	0.18304	0.15202	0.16624	0.20596	0.1585	0.18808	0.20034	0.14944	0.15784	0.19092	0.15706	0.15168	0.18076	0.17478	0.1684	0.21196	0.16944	0.17098	0.1996	0.14134	0.18138	0.18664	0.15274	0.15456	0.16362	0.16102	0.20734	0.1584	0.2003	0.16316	0.22498	0.15092	0.20748	0.22196	0.16522	0.22872	0.1744	0.16462	0.14042	0.16684	0.1566	0.138	0.20868	0.1656	0.16936	0.1714	0.15344	0.16912	0.16752
6	150	0.1495	0.1642	0.15522	0.14024	0.19552	0.24848	0.1384	0.17332	0.17378	0.15654	0.1728	0.1546	0.1449	0.16316	0.16028	0.1421	0.16292	0.26802	0.16714	0.1641	0.16408	0.1404	0.17354	0.15636	0.15528	0.1585	0.17934	0.1604	0.1754	0.2048	0.21388	0.17322	0.17894	0.18652	0.17162	0.18004	0.13744	0.17214	0.17938	0.1514	0.19222	0.1981	0.1738	0.18926	0.1764	0.19444	0.24884	0.19278	0.16286	0.17854	0.22192	0.16342	0.20654	0.2156	0.15664	0.164	0.20608	0.1616	0.15718	0.19412	0.19004	0.17984	0.2316	0.17188	0.18442	0.21836	0.1465	0.1945	0.20302	0.15768	0.16442	0.17512	0.17176	0.22242	0.17012	0.21248	0.17558	0.24916	0.15824	0.22938	0.24476	0.17086	0.2529	0.18836	0.17434	0.14732	0.17842	0.15796	0.14542	0.22768	0.17386	0.1793	0.18574	0.15656	0.17844	0.18024
7	180	0.15592	0.17282	0.1653	0.14318	0.20678	0.28818	0.14058	0.18526	0.18738	0.16276	0.18538	0.1647	0.14976	0.17336	0.16778	0.14674	0.16674	0.30028	0.17656	0.17632	0.17656	0.14556	0.18752	0.1677	0.16412	0.16812	0.19364	0.16208	0.18422	0.22998	0.23498	0.18928	0.19266	0.19966	0.17548	0.19532	0.14158	0.18654	0.19266	0.15716	0.19988	0.21904	0.18108	0.20584	0.18698	0.2064	0.27728	0.20694	0.17756	0.19418	0.24018	0.16884	0.23186	0.23638	0.1649	0.17174	0.22642	0.16724	0.16468	0.21212	0.20916	0.19188	0.2545	0.17666	0.20358	0.24518	0.15222	0.21214	0.2267	0.164	0.17774	0.19176	0.1855	0.24016	0.18398	0.226	0.19216	0.28184	0.16564	0.25636	0.2742	0.17826	0.28462	0.20826	0.18742	0.15658	0.19238	0.15992	0.15612	0.25452	0.18286	0.19228	0.20616	0.16068	0.19072	0.1986
8	210	0.1639	0.1827	0.17916	0.14682	0.22174	0.33274	0.14282	0.20014	0.2051	0.17138	0.20306	0.17842	0.15488	0.1866	0.17748	0.1512	0.17096	0.33934	0.18668	0.19266	0.19266	0.15202	0.20662	0.18178	0.17558	0.17982	0.21328	0.1638	0.19408	0.2615	0.2621	0.20992	0.21044	0.21784	0.18046	0.21674	0.14642	0.2054	0.2097	0.16416	0.20834	0.24626	0.18934	0.22482	0.20134	0.22196	0.311	0.22514	0.19652	0.21442	0.26426	0.17476	0.26468	0.26476	0.17362	0.18192	0.25246	0.17446	0.17446	0.2366	0.2319	0.20642	0.284	0.1818	0.22748	0.27856	0.15816	0.23456	0.2597	0.17262	0.19496	0.21624	0.20332	0.26424	0.20104	0.24436	0.21362	0.32374	0.17428	0.29134	0.31288	0.18742	0.32544	0.23546	0.20398	0.16874	0.21016	0.16236	0.17032	0.28774	0.19248	0.2081	0.23218	0.16598	0.20702	0.22312
9	240	0.17278	0.19414	0.19772	0.15086	0.24064	0.38446	0.14542	0.21742	0.22816	0.18318	0.22592	0.19726	0.16048	0.20216	0.19088	0.1564	0.17592	0.38606	0.1978	0.21388	0.21484	0.16082	0.23198	0.20166	0.18878	0.1938	0.23932	0.16596	0.2067	0.3033	0.2952	0.23504	0.2338	0.24252	0.18898	0.24596	0.15188	0.22936	0.23142	0.1728	0.21966	0.2825	0.1984	0.24696	0.22108	0.24286	0.35022	0.25338	0.2199	0.24092	0.29662	0.1824	0.31116	0.3018	0.18366	0.1955	0.2862	0.18378	0.18792	0.26938	0.25916	0.22494	0.31882	0.18908	0.26046	0.32256	0.16468	0.26542	0.30152	0.18394	0.21854	0.25162	0.22514	0.29292	0.223	0.26816	0.23974	0.3771	0.18332	0.33242	0.35678	0.1992	0.37624	0.27042	0.22418	0.1852	0.23316	0.1657	0.19028	0.32938	0.2038	0.23006	0.26602	0.17302	0.2315	0.2563
10	270	0.18442	0.20694	0.22228	0.1559	0.26584	0.44134	0.14844	0.2391	0.2602	0.19972	0.25712	0.22474	0.16572	0.22402	0.20866	0.1619	0.1826	0.44066	0.2104	0.24062	0.2452	0.1728	0.26614	0.22946	0.20368	0.21112	0.27412	0.1688	0.2217	0.35508	0.3357	0.2676	0.26756	0.2737	0.19642	0.2831	0.15782	0.25948	0.26032	0.1837	0.23366	0.32898	0.20872	0.27104	0.24702	0.26888	0.39424	0.286	0.24934	0.27468	0.33664	0.19172	0.37136	0.35066	0.19556	0.21514	0.3286	0.19552	0.20486	0.31066	0.2908	0.24644	0.35972	0.19854	0.30226	0.38028	0.1719	0.30692	0.35594	0.19812	0.25082	0.29002	0.25188	0.3276	0.2493	0.29742	0.27202	0.44172	0.19344	0.38304	0.41152	0.21452	0.4382	0.31722	0.2505	0.2054	0.26152	0.16928	0.21514	0.37852	0.2157	0.2594	0.31034	0.1818	0.26116	0.29952
