time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1	0	0.09472	0.09414	0.09528	0.09496	0.09952	0.0949	0.09446	0.09704	0.09438	0.09466	0.09598	0.09468	0.09494	0.11984	0.11272	0.11558	0.11284	0.11588	0.1134	0.11072	0.1137	0.11518	0.11254	0.09534	0.10198	0.12572	0.1119	0.12122	0.11342	0.1206	0.1119	0.11358	0.12046	0.11176	0.11108	0.09664	0.09424	0.13178	0.11392	0.12236	0.11498	0.11936	0.11374	0.12114	0.1135	0.11162	0.11018	0.09482	0.09416	0.12062	0.11192	0.11562	0.1142	0.1125	0.11004	0.11488	0.11136	0.11338	0.11114	0.0943	0.09502	0.11892	0.11392	0.11426	0.11248	0.1123	0.11292	0.11374	0.11576	0.11446	0.11022	0.09516	0.09512	0.12346	0.12038	0.12142	0.12134	0.12304	0.11948	0.12116	0.11898	0.11172	0.11218	0.0988	0.09446	0.09484	0.09498	0.0947	0.09444	0.09458	0.09394	0.09468	0.09468	0.09408	0.09526	0.09502
2	30	0.09458	0.09432	0.09516	0.09484	0.10038	0.09482	0.09456	0.09678	0.09436	0.09456	0.09586	0.09464	0.0948	0.1211	0.11632	0.12008	0.11534	0.11748	0.11656	0.11326	0.11654	0.11896	0.1149	0.0953	0.1013	0.1262	0.11546	0.1251	0.11738	0.12394	0.11436	0.11892	0.1224	0.11364	0.11316	0.09762	0.0941	0.1319	0.11984	0.12568	0.11778	0.12488	0.11738	0.12838	0.11734	0.11434	0.11226	0.09472	0.0944	0.12048	0.1175	0.11784	0.11648	0.11448	0.11248	0.11686	0.11412	0.11448	0.11386	0.09414	0.09502	0.11974	0.12166	0.1184	0.11736	0.11662	0.11672	0.11698	0.11838	0.11608	0.112	0.09514	0.09492	0.13374	0.13006	0.128	0.12716	0.12694	0.12962	0.12984	0.12172	0.11288	0.11466	0.09708	0.0946	0.09484	0.09494	0.09468	0.09434	0.0944	0.0938	0.09446	0.09462	0.0939	0.09496	0.09494
3	60	0.0943	0.09448	0.09502	0.0947	0.09996	0.09468	0.0943	0.09682	0.0942	0.09438	0.09568	0.09444	0.09478	0.122	0.12032	0.12448	0.11918	0.12074	0.12092	0.11746	0.12012	0.12216	0.11864	0.09522	0.1018	0.12864	0.11902	0.12946	0.12164	0.1277	0.11728	0.12448	0.12456	0.11564	0.11496	0.09642	0.09388	0.13378	0.12768	0.1289	0.12048	0.13116	0.1198	0.13564	0.1216	0.11662	0.11466	0.0946	0.09444	0.12222	0.12374	0.12096	0.11856	0.11712	0.11582	0.11854	0.11692	0.11604	0.11654	0.094	0.0948	0.12174	0.13124	0.1244	0.12406	0.12464	0.12224	0.12072	0.12238	0.11812	0.11486	0.09492	0.09478	0.14422	0.14394	0.13404	0.13522	0.13194	0.14376	0.13876	0.12456	0.11506	0.11794	0.09712	0.0944	0.09466	0.09472	0.09454	0.09416	0.0942	0.09368	0.09424	0.09446	0.09372	0.09476	0.09476
4	90	0.0945	0.09498	0.09512	0.09478	0.09998	0.0949	0.09436	0.09732	0.09436	0.0945	0.0961	0.09466	0.09514	0.12242	0.12444	0.12736	0.122	0.12452	0.1259	0.12148	0.12374	0.12242	0.12138	0.09538	0.10168	0.13042	0.12156	0.13204	0.12472	0.13076	0.12074	0.1292	0.12714	0.11684	0.11752	0.09642	0.09412	0.13476	0.13618	0.13024	0.12262	0.13756	0.12252	0.14188	0.12584	0.11774	0.11718	0.09474	0.09452	0.12436	0.12828	0.12444	0.11944	0.11926	0.1194	0.12078	0.11984	0.11632	0.11972	0.09412	0.09494	0.12264	0.1403	0.12942	0.13004	0.13368	0.12828	0.12456	0.1265	0.11926	0.1182	0.0952	0.09488	0.15102	0.1531	0.13736	0.1399	0.13664	0.15532	0.14666	0.12704	0.1161	0.1212	0.09722	0.09462	0.09484	0.0949	0.09468	0.09434	0.09438	0.0938	0.09434	0.09462	0.0939	0.09496	0.09488
5	120	0.0945	0.0953	0.09514	0.0949	0.10002	0.09482	0.09444	0.09732	0.09438	0.09446	0.09594	0.09462	0.09526	0.12214	0.12722	0.1287	0.1238	0.12892	0.13134	0.12624	0.1281	0.12266	0.12476	0.09528	0.10192	0.13164	0.1229	0.13368	0.12666	0.13472	0.12472	0.13436	0.13064	0.11702	0.1201	0.09616	0.0941	0.13604	0.14352	0.1318	0.12464	0.14502	0.12616	0.14892	0.1306	0.11806	0.12026	0.09472	0.09416	0.1259	0.13124	0.12726	0.11972	0.12234	0.12418	0.12364	0.12382	0.1161	0.12322	0.09414	0.09494	0.12384	0.14606	0.13274	0.1345	0.14398	0.135	0.12964	0.13172	0.11946	0.1217	0.09516	0.0949	0.15434	0.15786	0.13872	0.14358	0.14158	0.16668	0.15494	0.13052	0.11608	0.12472	0.09714	0.09454	0.09488	0.09494	0.09464	0.09434	0.0944	0.09384	0.09436	0.09464	0.09398	0.09492	0.09488
6	150	0.09448	0.09552	0.09522	0.0949	0.09992	0.09492	0.09452	0.09742	0.09446	0.09454	0.09614	0.09466	0.09544	0.12182	0.12912	0.12926	0.12502	0.13496	0.13856	0.13258	0.13406	0.12208	0.12942	0.09536	0.10122	0.13298	0.12372	0.13522	0.12772	0.13988	0.1299	0.14126	0.13506	0.11688	0.12416	0.09646	0.09426	0.13686	0.15016	0.1326	0.12614	0.1545	0.13096	0.15864	0.13696	0.11812	0.12446	0.0948	0.0947	0.1277	0.13298	0.12972	0.11964	0.1275	0.13072	0.12816	0.1293	0.1156	0.12852	0.0942	0.09492	0.12438	0.15006	0.13512	0.1378	0.15606	0.14352	0.1368	0.13904	0.11944	0.12672	0.09526	0.09496	0.15634	0.16068	0.13892	0.14528	0.1477	0.17972	0.16486	0.13568	0.11576	0.1299	0.0971	0.09464	0.09502	0.09496	0.0947	0.09442	0.09442	0.09392	0.09442	0.09478	0.094	0.09498	0.09498
7	180	0.09448	0.09578	0.09524	0.09496	0.10048	0.09494	0.0946	0.09788	0.09446	0.09456	0.09638	0.09472	0.09588	0.12306	0.13222	0.12962	0.12598	0.14294	0.1484	0.14184	0.14228	0.12202	0.13726	0.09548	0.10238	0.1356	0.12432	0.13742	0.12846	0.14864	0.13672	0.15074	0.14196	0.1167	0.12978	0.09612	0.0943	0.13836	0.15808	0.13352	0.12826	0.1671	0.13788	0.17146	0.14582	0.11792	0.13082	0.09486	0.09466	0.13154	0.13492	0.13202	0.12002	0.1353	0.14018	0.13548	0.13734	0.11554	0.13644	0.09422	0.09496	0.12642	0.15452	0.13688	0.14034	0.17296	0.15548	0.14706	0.1492	0.11934	0.13428	0.09534	0.09498	0.15812	0.16422	0.1391	0.14678	0.15668	0.19642	0.17792	0.14352	0.11594	0.1375	0.0976	0.09472	0.09508	0.09502	0.0947	0.09446	0.09446	0.09398	0.09444	0.09482	0.09408	0.09504	0.09504
8	210	0.0945	0.09592	0.09518	0.09488	0.10048	0.09496	0.09456	0.09816	0.0945	0.09454	0.0964	0.09468	0.09584	0.12316	0.13532	0.12982	0.12686	0.15326	0.1616	0.15366	0.1534	0.12126	0.14586	0.09538	0.10188	0.1373	0.12488	0.13826	0.12892	0.15848	0.14552	0.16346	0.14956	0.11656	0.13792	0.09624	0.09424	0.139	0.16612	0.1336	0.12994	0.18278	0.14698	0.18776	0.15764	0.11766	0.13946	0.09484	0.09476	0.1347	0.13656	0.13386	0.11996	0.14538	0.15294	0.14486	0.1474	0.115	0.1467	0.09424	0.09486	0.12738	0.15872	0.1377	0.142	0.19312	0.17076	0.15988	0.16292	0.11888	0.14432	0.0953	0.09486	0.15982	0.16734	0.13892	0.1471	0.16736	0.21614	0.19376	0.15382	0.11552	0.14744	0.09728	0.09468	0.09506	0.09482	0.09466	0.09438	0.09432	0.09392	0.09444	0.09472	0.094	0.09498	0.09502
9	240	0.09464	0.09616	0.09532	0.09498	0.10058	0.09512	0.09462	0.0982	0.09456	0.09458	0.0966	0.0948	0.09592	0.1233	0.13906	0.1298	0.12778	0.16722	0.17848	0.16932	0.16832	0.12072	0.15912	0.09554	0.10218	0.13924	0.12552	0.13908	0.1293	0.17192	0.1569	0.17956	0.15884	0.11606	0.14846	0.09614	0.09434	0.14016	0.1761	0.1338	0.13204	0.20298	0.1587	0.20904	0.17332	0.11742	0.15118	0.09488	0.09478	0.13906	0.13826	0.1359	0.11992	0.15854	0.16992	0.157	0.16068	0.11448	0.16116	0.09428	0.09488	0.12864	0.16274	0.13834	0.14346	0.21874	0.1917	0.17724	0.18132	0.11834	0.15798	0.0953	0.09492	0.16208	0.1704	0.13846	0.14738	0.18164	0.23982	0.21362	0.1674	0.11502	0.16086	0.09722	0.0947	0.09508	0.09486	0.09466	0.09438	0.09444	0.09398	0.0945	0.09474	0.09406	0.09498	0.09502
10	270	0.09464	0.09622	0.09528	0.09504	0.10058	0.09496	0.09466	0.09834	0.09454	0.09456	0.09662	0.09478	0.09624	0.12432	0.1432	0.12986	0.12882	0.18496	0.20132	0.19082	0.18824	0.12034	0.17816	0.0955	0.10188	0.14088	0.12622	0.13956	0.12956	0.18888	0.17202	0.2005	0.17146	0.11574	0.16394	0.09608	0.0943	0.14046	0.18864	0.1336	0.1344	0.22804	0.1745	0.23462	0.19504	0.11706	0.16804	0.09486	0.09468	0.14406	0.1399	0.13776	0.11988	0.17488	0.19298	0.1724	0.17894	0.11404	0.18146	0.09422	0.09488	0.12996	0.16784	0.13864	0.14456	0.25218	0.21896	0.20098	0.20592	0.11808	0.17724	0.09532	0.09488	0.16524	0.1748	0.13834	0.14792	0.20134	0.26784	0.23932	0.1869	0.11476	0.17996	0.0974	0.09468	0.09512	0.09492	0.09464	0.09438	0.09434	0.09392	0.09446	0.09476	0.09406	0.095	0.09504
11	300	0.09476	0.0964	0.09544	0.09506	0.10072	0.09504	0.09468	0.0985	0.09448	0.09454	0.09666	0.09482	0.09638	0.12534	0.14868	0.13032	0.13032	0.20874	0.23146	0.21956	0.21516	0.12018	0.2027	0.0955	0.10144	0.14352	0.12714	0.1405	0.13014	0.21182	0.19214	0.22834	0.1887	0.11566	0.1851	0.09602	0.09438	0.14174	0.20362	0.13354	0.13698	0.2597	0.19684	0.2673	0.22388	0.11692	0.19086	0.09494	0.0949	0.15042	0.14196	0.14008	0.11998	0.19632	0.22348	0.19322	0.20358	0.11394	0.20836	0.09424	0.0949	0.1317	0.17396	0.1393	0.1461	0.2908	0.2531	0.23352	0.23878	0.11802	0.20318	0.09542	0.09492	0.16866	0.17934	0.13822	0.14744	0.22712	0.29876	0.27036	0.2132	0.1146	0.20534	0.09734	0.09468	0.09516	0.09486	0.09468	0.09436	0.09432	0.0939	0.09446	0.0948	0.09406	0.09502	0.09508
12	330	0.09488	0.09652	0.0955	0.095	0.10092	0.09506	0.09462	0.09874	0.09456	0.09452	0.09686	0.09474	0.09644	0.12618	0.1549	0.13044	0.1318	0.23892	0.26782	0.25642	0.24888	0.11986	0.23602	0.09554	0.10206	0.14612	0.12838	0.14104	0.13056	0.23918	0.21704	0.2615	0.21082	0.11548	0.21276	0.096	0.09434	0.14242	0.22194	0.13342	0.1399	0.29736	0.22578	0.30758	0.2603	0.11676	0.22058	0.09484	0.09474	0.1574	0.1443	0.1423	0.12004	0.22314	0.26154	0.21988	0.23636	0.1136	0.24504	0.09422	0.09484	0.1338	0.18058	0.14	0.14758	0.3353	0.29418	0.2747	0.27996	0.1176	0.23662	0.09542	0.09484	0.17316	0.18414	0.13808	0.14768	0.2596	0.33214	0.30722	0.248	0.11444	0.2387	0.09758	0.09468	0.0952	0.09482	0.09466	0.09436	0.09434	0.0939	0.0945	0.0948	0.09408	0.09504	0.095
13	360	0.0949	0.09672	0.09542	0.09506	0.10056	0.0952	0.09472	0.09868	0.09454	0.09462	0.09678	0.09486	0.09634	0.1269	0.16306	0.13074	0.13396	0.27624	0.31198	0.30246	0.29138	0.11982	0.27686	0.09564	0.10238	0.14874	0.1298	0.14184	0.13142	0.27372	0.2481	0.30222	0.2403	0.1154	0.24842	0.09614	0.0944	0.14496	0.24382	0.13356	0.14352	0.3421	0.26418	0.35518	0.30682	0.11674	0.25774	0.09496	0.09468	0.16768	0.14734	0.14518	0.12084	0.25906	0.30806	0.25562	0.28094	0.11498	0.29346	0.09424	0.09488	0.13712	0.18916	0.1411	0.1499	0.38566	0.34356	0.32664	0.33008	0.11854	0.2797	0.09536	0.09496	0.1799	0.19184	0.13954	0.14936	0.30336	0.3678	0.35086	0.29426	0.11462	0.28174	0.09988	0.09476	0.09528	0.09496	0.0947	0.09448	0.09444	0.09408	0.0946	0.09484	0.09406	0.09502	0.09506
14	390	0.09498	0.09682	0.0954	0.09506	0.10054	0.09514	0.09472	0.09862	0.09454	0.09462	0.0966	0.09486	0.0965	0.12848	0.17262	0.13118	0.13642	0.32108	0.36276	0.35662	0.34212	0.11966	0.3252	0.09562	0.10108	0.15166	0.13138	0.14256	0.13234	0.31518	0.28588	0.34988	0.2781	0.11536	0.2906	0.09608	0.09432	0.14522	0.26828	0.1335	0.14746	0.39286	0.31172	0.40972	0.36238	0.11666	0.30246	0.09488	0.09436	0.17486	0.15062	0.14824	0.12056	0.30142	0.3623	0.2974	0.33172	0.1131	0.35144	0.09424	0.0949	0.13822	0.19738	0.14186	0.1517	0.43788	0.39924	0.38774	0.39006	0.11744	0.3317	0.09544	0.09484	0.18478	0.1956	0.13804	0.14872	0.35038	0.40552	0.40222	0.34782	0.11394	0.33418	0.09734	0.09474	0.09528	0.09486	0.09464	0.09438	0.09432	0.09394	0.0945	0.09486	0.09412	0.09502	0.09508
15	420	0.09508	0.0969	0.09554	0.09502	0.10086	0.09524	0.0946	0.09888	0.09454	0.09456	0.09676	0.09476	0.0966	0.13012	0.1846	0.13184	0.13964	0.37424	0.42102	0.4191	0.40216	0.11956	0.37856	0.0956	0.10208	0.15606	0.13326	0.14382	0.1335	0.36374	0.3305	0.40564	0.32552	0.11536	0.33958	0.09654	0.0944	0.14702	0.29634	0.13382	0.15234	0.44932	0.36876	0.47178	0.42624	0.11662	0.35274	0.09494	0.0947	0.186	0.1544	0.15168	0.12094	0.35486	0.42338	0.3502	0.39546	0.1131	0.42228	0.09424	0.09488	0.14166	0.20708	0.14296	0.15404	0.4913	0.46112	0.4592	0.4591	0.11732	0.39514	0.09544	0.09486	0.19206	0.20282	0.13844	0.14912	0.40788	0.44262	0.46126	0.41198	0.11402	0.39844	0.0974	0.09476	0.09534	0.09482	0.09464	0.09444	0.0943	0.09392	0.0945	0.09484	0.09406	0.09502	0.09506
