time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1	0	0.09938	0.09968	0.0993	0.09986	0.10024	0.10074	0.10006	0.09896	0.09934	0.09882	0.09886	0.0997	0.09958	0.11488	0.1239	0.12062	0.12856	0.1226	0.13026	0.11674	0.11752	0.12432	0.10244	0.09954	0.09946	0.12484	0.12836	0.12654	0.12994	0.14044	0.1372	0.12122	0.1252	0.12594	0.10308	0.09994	0.09924	0.11386	0.11842	0.12356	0.12378	0.12622	0.12248	0.1245	0.12162	0.1296	0.10356	0.10036	0.09914	0.11118	0.11528	0.11994	0.11626	0.12836	0.1302	0.10544	0.10488	0.105	0.10338	0.101	0.09988	0.11732	0.12538	0.12744	0.12542	0.12974	0.13164	0.1051	0.10714	0.10492	0.10304	0.0993	0.10006	0.11544	0.12	0.12198	0.12228	0.12874	0.12972	0.10626	0.10394	0.10386	0.10622	0.10156	0.09936	0.0989	0.09956	0.09956	0.09924	0.09916	0.10308	0.10162	0.10122	0.10036	0.10026	0.10064
2	30	0.09898	0.0995	0.09888	0.09952	0.0995	0.10042	0.0995	0.09872	0.09892	0.0985	0.09852	0.09914	0.09918	0.11158	0.12288	0.1183	0.12946	0.11948	0.12864	0.11402	0.11616	0.12086	0.0991	0.09914	0.09892	0.12422	0.12782	0.12796	0.1267	0.1348	0.13204	0.11826	0.1208	0.12476	0.09954	0.0995	0.0988	0.11412	0.11842	0.1202	0.12046	0.12334	0.11928	0.1218	0.1187	0.1275	0.09992	0.09994	0.09892	0.11304	0.11452	0.11858	0.1126	0.1229	0.12758	0.0994	0.1001	0.10042	0.10022	0.10062	0.09932	0.11958	0.12554	0.12558	0.12226	0.12514	0.12614	0.09894	0.1022	0.0999	0.10012	0.0988	0.09974	0.1175	0.11962	0.11924	0.11936	0.1232	0.12458	0.1008	0.10002	0.10064	0.10398	0.10056	0.09906	0.09864	0.09912	0.09916	0.0988	0.09878	0.10278	0.1013	0.10072	0.10002	0.09994	0.09988
3	60	0.09916	0.09964	0.09906	0.09966	0.0997	0.10048	0.09968	0.09878	0.09902	0.09862	0.09868	0.0994	0.09936	0.11226	0.1254	0.11982	0.13498	0.12102	0.13202	0.11592	0.11858	0.12364	0.09922	0.09934	0.09914	0.12732	0.13164	0.13192	0.12964	0.13794	0.13438	0.12048	0.12316	0.1271	0.09962	0.09978	0.09898	0.1161	0.12336	0.12232	0.12428	0.12652	0.12214	0.12434	0.12172	0.13098	0.10002	0.1	0.09934	0.1156	0.11682	0.12078	0.11542	0.12536	0.1305	0.09954	0.10026	0.10058	0.1004	0.10056	0.09932	0.12258	0.12826	0.1298	0.12554	0.12826	0.1291	0.09908	0.10234	0.10008	0.10026	0.09898	0.09986	0.12096	0.12466	0.12252	0.12356	0.126	0.12648	0.10088	0.10012	0.10088	0.10408	0.1006	0.09906	0.09868	0.0992	0.09928	0.09888	0.09888	0.103	0.10154	0.1009	0.10014	0.09998	0.1
4	90	0.09894	0.09944	0.09892	0.0995	0.09948	0.1004	0.09958	0.09874	0.09892	0.0986	0.09862	0.09924	0.09924	0.11262	0.1272	0.12058	0.13864	0.1224	0.1351	0.11646	0.11928	0.12618	0.0992	0.0993	0.09902	0.12912	0.13406	0.13394	0.13106	0.14082	0.13644	0.12144	0.12348	0.13014	0.09958	0.09958	0.09886	0.11746	0.12758	0.1227	0.12718	0.1301	0.1252	0.12534	0.12282	0.13394	0.09996	0.09996	0.09962	0.11744	0.11902	0.12336	0.11696	0.12764	0.13394	0.09946	0.10018	0.10042	0.1003	0.10056	0.09922	0.12452	0.13042	0.1328	0.12732	0.13056	0.1329	0.09894	0.10228	0.1	0.10014	0.09886	0.0996	0.1232	0.1292	0.1241	0.12746	0.12796	0.12864	0.10074	0.10002	0.1007	0.1041	0.10054	0.09902	0.09848	0.09906	0.09912	0.09874	0.09874	0.10286	0.10118	0.10088	0.0999	0.09992	0.09996
5	120	0.09902	0.09952	0.099	0.09954	0.09948	0.10044	0.09954	0.09878	0.09896	0.0987	0.09866	0.0993	0.09924	0.1132	0.12916	0.12214	0.14156	0.12372	0.13954	0.1167	0.11972	0.12976	0.09924	0.09934	0.09904	0.13094	0.13604	0.1353	0.132	0.14446	0.13912	0.1217	0.1237	0.13362	0.09962	0.0996	0.0989	0.11896	0.13264	0.12372	0.1306	0.13528	0.12902	0.12574	0.1235	0.13796	0.09998	0.1	0.09988	0.1195	0.12138	0.12518	0.11844	0.13068	0.1393	0.09952	0.10026	0.1005	0.1004	0.10076	0.09922	0.12642	0.13226	0.13476	0.12866	0.13346	0.1384	0.09906	0.10236	0.10008	0.10024	0.09898	0.09952	0.12552	0.13472	0.12548	0.13274	0.13084	0.13166	0.1008	0.10008	0.10076	0.10424	0.1009	0.09884	0.09844	0.099	0.09908	0.09882	0.09882	0.10296	0.10116	0.10096	0.1	0.09996	0.10006
6	150	0.09894	0.09954	0.09906	0.09948	0.09948	0.1005	0.09958	0.09876	0.099	0.09868	0.09864	0.09922	0.09922	0.11408	0.13118	0.12388	0.14414	0.12562	0.14644	0.1166	0.12014	0.13522	0.09922	0.09932	0.09896	0.13334	0.1382	0.1369	0.13244	0.14994	0.14378	0.12198	0.12394	0.14034	0.09962	0.09966	0.09892	0.12076	0.14022	0.1245	0.13478	0.14186	0.13432	0.12576	0.1241	0.14384	0.10002	0.10014	0.10012	0.12212	0.1249	0.12686	0.1203	0.13482	0.14662	0.09948	0.10022	0.10054	0.1003	0.10066	0.09926	0.1285	0.1337	0.13628	0.12988	0.13732	0.1451	0.09902	0.1024	0.1001	0.10018	0.09896	0.0995	0.12826	0.1436	0.1265	0.14054	0.13482	0.13574	0.10076	0.10012	0.10078	0.1043	0.10102	0.09884	0.09848	0.099	0.09904	0.09878	0.09886	0.10292	0.10118	0.101	0.09994	0.09998	0.1001
7	180	0.09898	0.09954	0.09898	0.09952	0.09944	0.1004	0.09946	0.09872	0.0989	0.09856	0.09852	0.09924	0.09918	0.1151	0.1334	0.1258	0.14512	0.12826	0.15472	0.1159	0.11954	0.14212	0.09912	0.09922	0.0989	0.13632	0.14062	0.13796	0.13282	0.15718	0.1498	0.12156	0.12328	0.14888	0.0995	0.09954	0.09884	0.12322	0.14784	0.12534	0.13992	0.15038	0.14076	0.12522	0.12374	0.15162	0.09998	0.09996	0.10022	0.12494	0.12892	0.12796	0.12184	0.14024	0.15622	0.09936	0.1001	0.1004	0.10026	0.10054	0.09916	0.13036	0.13542	0.13674	0.1304	0.14248	0.15458	0.09892	0.10228	0.1	0.10006	0.09884	0.09944	0.13086	0.15216	0.12708	0.14846	0.14004	0.14096	0.10064	0.09998	0.10066	0.10418	0.10066	0.0987	0.0984	0.09892	0.09898	0.09864	0.0988	0.1028	0.10112	0.10086	0.0999	0.0999	0.1
8	210	0.09906	0.09962	0.099	0.0996	0.09952	0.1004	0.0996	0.09876	0.09894	0.09868	0.09864	0.09924	0.09922	0.11662	0.13646	0.12902	0.14604	0.13174	0.16652	0.1157	0.11932	0.15276	0.09916	0.09928	0.099	0.13998	0.14398	0.13902	0.13326	0.16756	0.15874	0.12138	0.12264	0.16074	0.09958	0.09964	0.09888	0.12654	0.15818	0.12684	0.1466	0.16192	0.14966	0.12506	0.12366	0.16272	0.09998	0.10002	0.10058	0.1288	0.1342	0.12942	0.12406	0.14768	0.16974	0.0995	0.10016	0.10042	0.1003	0.1006	0.0993	0.13278	0.13792	0.13748	0.13122	0.15004	0.16748	0.09904	0.10242	0.10004	0.10024	0.09896	0.09944	0.13422	0.16436	0.12796	0.15932	0.14684	0.14828	0.10066	0.09994	0.1007	0.10412	0.10086	0.09878	0.09844	0.099	0.09908	0.09874	0.0988	0.10284	0.10116	0.10098	0.09998	0.09996	0.10016
9	240	0.09904	0.09948	0.09894	0.09956	0.09954	0.10036	0.09954	0.0987	0.09888	0.0986	0.09858	0.09926	0.09914	0.11864	0.14034	0.13292	0.14722	0.13592	0.18222	0.11536	0.11874	0.16696	0.09914	0.0992	0.09906	0.14464	0.14786	0.14022	0.1338	0.18232	0.1708	0.12112	0.12238	0.17764	0.0995	0.09956	0.0988	0.1308	0.17132	0.12824	0.15458	0.17686	0.16202	0.12466	0.1231	0.17786	0.09992	0.09992	0.10072	0.13348	0.1409	0.13098	0.1267	0.15764	0.1882	0.09942	0.1002	0.10042	0.10024	0.10056	0.0992	0.13582	0.1403	0.13778	0.13176	0.1598	0.18344	0.09896	0.1023	0.09998	0.10014	0.09892	0.09944	0.13818	0.18038	0.12912	0.1736	0.15604	0.1586	0.10062	0.0999	0.1006	0.10416	0.10094	0.09866	0.09832	0.09894	0.09898	0.09872	0.09878	0.10278	0.10106	0.10092	0.09988	0.09986	0.10012
10	270	0.0991	0.09962	0.09902	0.09968	0.09958	0.1004	0.09962	0.09878	0.09894	0.09862	0.0986	0.0994	0.09926	0.1214	0.1456	0.13902	0.14874	0.1423	0.20482	0.11548	0.11846	0.18684	0.09912	0.09936	0.0991	0.1509	0.15304	0.1419	0.13438	0.20188	0.18578	0.12094	0.1219	0.20108	0.09952	0.0996	0.09886	0.1365	0.18866	0.13058	0.16568	0.198	0.1795	0.12456	0.12278	0.20002	0.09996	0.10008	0.1009	0.13996	0.15034	0.13298	0.13042	0.17142	0.21512	0.09944	0.10012	0.10042	0.10026	0.10058	0.09932	0.13982	0.14386	0.13852	0.1327	0.1741	0.20614	0.09896	0.1024	0.1	0.10018	0.09888	0.09946	0.1438	0.20116	0.13046	0.19176	0.16876	0.1731	0.10068	0.09998	0.10068	0.10416	0.10112	0.0987	0.09838	0.09896	0.09894	0.09874	0.09878	0.10288	0.1013	0.10098	0.09994	0.09996	0.10024
