time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1	0	0.09912	0.09926	0.10032	0.0995	0.09988	0.1002	0.1004	0.10112	0.10088	0.10092	0.10146	0.10026	0.09984	0.12084	0.12266	0.12024	0.1226	0.12548	0.12558	0.12036	0.11878	0.12108	0.10046	0.10098	0.0989	0.117	0.12168	0.12058	0.11856	0.12018	0.11908	0.12284	0.128	0.12532	0.10204	0.10084	0.0992	0.11674	0.11682	0.12104	0.11706	0.11856	0.1165	0.1243	0.1243	0.12514	0.10078	0.10032	0.0994	0.11558	0.11412	0.1209	0.11342	0.11738	0.11236	0.10094	0.1017	0.10076	0.10032	0.1007	0.09982	0.1155	0.11922	0.11754	0.11528	0.1155	0.1182	0.09996	0.1026	0.10106	0.1004	0.10278	0.09908	0.11664	0.11738	0.11668	0.1158	0.11858	0.11714	0.10104	0.10084	0.10088	0.10182	0.1021	0.0992	0.09958	0.10006	0.09946	0.0996	0.09944	0.10014	0.1047	0.1005	0.10018	0.1016	0.09976
2	30	0.0992	0.10482	0.10282	0.1003	0.10132	0.10108	0.10092	0.10144	0.1005	0.10082	0.10166	0.09988	0.1037	0.14718	0.1409	0.13622	0.13766	0.14184	0.14064	0.13344	0.13002	0.13482	0.11334	0.10228	0.09964	0.1347	0.13666	0.13348	0.13116	0.13278	0.13094	0.13448	0.13776	0.13814	0.11296	0.10108	0.1003	0.13552	0.13208	0.13384	0.12708	0.12716	0.1257	0.1352	0.1346	0.13532	0.10984	0.10022	0.10086	0.13432	0.12988	0.13556	0.12498	0.12968	0.12266	0.10878	0.10824	0.10796	0.10876	0.10034	0.10334	0.14044	0.14092	0.13462	0.13082	0.12884	0.13088	0.10958	0.10996	0.10872	0.10932	0.102	0.10588	0.14558	0.1389	0.13564	0.13432	0.13446	0.13224	0.11238	0.11034	0.10954	0.11306	0.10312	0.09928	0.10446	0.10246	0.10014	0.10088	0.10026	0.1006	0.1049	0.10038	0.10018	0.10184	0.0998
3	60	0.0994	0.09946	0.1002	0.09966	0.09982	0.10016	0.1004	0.1013	0.1006	0.10078	0.10156	0.09996	0.1001	0.1701	0.15746	0.15068	0.15102	0.15396	0.14838	0.13548	0.12672	0.1268	0.10066	0.1021	0.09914	0.15522	0.15758	0.15058	0.14544	0.1451	0.14164	0.14392	0.14006	0.13566	0.10114	0.10088	0.09928	0.15778	0.15262	0.15058	0.14172	0.1403	0.13518	0.13842	0.13116	0.13038	0.10076	0.10038	0.09958	0.1566	0.1512	0.15432	0.14006	0.1423	0.132	0.10946	0.10204	0.1008	0.10058	0.10038	0.09996	0.16454	0.16362	0.1532	0.14608	0.14222	0.14238	0.11224	0.103	0.1013	0.10072	0.10212	0.09928	0.16828	0.1592	0.15198	0.1468	0.14414	0.13036	0.10162	0.10104	0.10096	0.10206	0.10238	0.0993	0.09992	0.10034	0.09966	0.0999	0.09978	0.10034	0.1049	0.10052	0.10026	0.10152	0.0998
4	90	0.0994	0.09956	0.10026	0.09962	0.09986	0.10024	0.10046	0.1013	0.10068	0.10086	0.10152	0.10002	0.10014	0.1351	0.12596	0.12376	0.12566	0.1294	0.1282	0.1233	0.12136	0.12342	0.10046	0.10274	0.09918	0.12754	0.13182	0.12866	0.12496	0.12666	0.12496	0.12966	0.13452	0.13232	0.1011	0.10086	0.0993	0.14846	0.1339	0.12908	0.12258	0.12536	0.12208	0.1322	0.13152	0.13288	0.10082	0.10034	0.09956	0.1544	0.14546	0.12774	0.11836	0.12344	0.11608	0.101	0.1018	0.1008	0.10064	0.10042	0.09996	0.16692	0.16342	0.13078	0.1198	0.11926	0.12214	0.10014	0.1027	0.10126	0.10074	0.1022	0.09926	0.1704	0.15378	0.12064	0.12134	0.12298	0.12188	0.10102	0.10106	0.10102	0.102	0.1023	0.09928	0.09986	0.1003	0.09968	0.09996	0.09974	0.10032	0.10488	0.10048	0.1002	0.10142	0.09992
5	120	0.09946	0.09956	0.10026	0.09966	0.09988	0.10024	0.1006	0.1014	0.1007	0.10082	0.10166	0.1001	0.10024	0.13602	0.12986	0.128	0.12938	0.13376	0.13262	0.12618	0.12428	0.1263	0.10056	0.10236	0.09932	0.1255	0.1318	0.13364	0.12852	0.13046	0.12818	0.13432	0.13902	0.13684	0.10138	0.1009	0.09944	0.12736	0.1245	0.13464	0.12658	0.1309	0.12636	0.1366	0.13542	0.13768	0.10092	0.10044	0.09962	0.12266	0.12118	0.13238	0.12186	0.12754	0.11898	0.10102	0.10188	0.10088	0.10072	0.10054	0.1	0.12406	0.12976	0.1268	0.12256	0.1222	0.12508	0.10026	0.10282	0.10138	0.10082	0.1023	0.09936	0.12348	0.12398	0.1235	0.12464	0.12652	0.12524	0.10114	0.1011	0.10102	0.10212	0.1025	0.0994	0.10006	0.10042	0.0998	0.10008	0.09994	0.10038	0.10498	0.1006	0.10036	0.10164	0.10002
6	150	0.09946	0.09956	0.10038	0.09978	0.1	0.10028	0.10058	0.10154	0.10088	0.10096	0.1017	0.10008	0.10026	0.14338	0.13534	0.1331	0.13422	0.13998	0.13844	0.13072	0.12826	0.13036	0.10044	0.10334	0.09918	0.12996	0.13726	0.1398	0.1332	0.1358	0.13278	0.14076	0.1451	0.14326	0.10112	0.10092	0.0995	0.1329	0.12908	0.1417	0.13204	0.13746	0.1321	0.14302	0.14138	0.14456	0.1008	0.10028	0.09976	0.12708	0.12506	0.13866	0.12646	0.13306	0.12286	0.10108	0.10194	0.10094	0.10082	0.10062	0.1001	0.12848	0.13554	0.13192	0.12694	0.1262	0.12968	0.10032	0.10288	0.10136	0.10094	0.10234	0.0995	0.12802	0.12814	0.12784	0.12968	0.13126	0.12996	0.10124	0.1013	0.10112	0.10224	0.10254	0.09946	0.10016	0.10056	0.09986	0.10018	0.10004	0.10052	0.10504	0.10068	0.10042	0.1017	0.1001
7	180	0.09934	0.0996	0.1002	0.0998	0.1	0.10024	0.1006	0.10138	0.10082	0.10094	0.10164	0.10018	0.10018	0.15204	0.1429	0.14054	0.14148	0.14874	0.14654	0.1375	0.1339	0.13632	0.10054	0.10346	0.09928	0.13616	0.14472	0.14908	0.14006	0.14312	0.1391	0.15	0.15408	0.15226	0.10134	0.10098	0.0994	0.14014	0.13552	0.15156	0.13988	0.14634	0.14012	0.15248	0.14996	0.15442	0.10092	0.10054	0.09958	0.13288	0.13028	0.14702	0.13228	0.1404	0.1279	0.10114	0.10188	0.1009	0.10068	0.10052	0.10004	0.1347	0.14316	0.13884	0.13268	0.13182	0.1358	0.10022	0.1028	0.1014	0.10078	0.10228	0.09928	0.13396	0.13382	0.13378	0.13638	0.13812	0.13636	0.1012	0.10106	0.10102	0.10208	0.1025	0.09938	0.09988	0.10032	0.09984	0.10014	0.09992	0.10042	0.10506	0.10058	0.10036	0.10152	0.1
8	210	0.0994	0.0996	0.10026	0.09976	0.09998	0.10028	0.10068	0.10154	0.1009	0.10092	0.10166	0.10024	0.1003	0.16262	0.1528	0.14994	0.1511	0.15976	0.15686	0.14644	0.14172	0.14422	0.10062	0.10382	0.09928	0.14444	0.15482	0.16114	0.14922	0.15224	0.14748	0.1629	0.16698	0.16512	0.10136	0.10108	0.09954	0.14952	0.14392	0.16372	0.14982	0.15684	0.15026	0.16568	0.16178	0.16792	0.10104	0.10066	0.0997	0.14084	0.13712	0.15836	0.14014	0.15	0.13446	0.1012	0.102	0.10094	0.10076	0.1007	0.10008	0.14356	0.154	0.14848	0.1408	0.13906	0.14394	0.10038	0.10294	0.10166	0.1009	0.1024	0.09938	0.14194	0.14124	0.14158	0.14474	0.14668	0.14468	0.10128	0.10138	0.10112	0.10222	0.10256	0.09946	0.09998	0.1004	0.0998	0.10024	0.10008	0.10058	0.10514	0.10068	0.1004	0.10176	0.1002
9	240	0.09942	0.09962	0.10026	0.09978	0.1	0.1002	0.10062	0.10136	0.1008	0.101	0.10168	0.1002	0.10028	0.1744	0.16416	0.16044	0.1615	0.17264	0.16884	0.15846	0.15234	0.15506	0.10064	0.1036	0.09928	0.15412	0.16696	0.17534	0.15986	0.1626	0.15702	0.18056	0.18392	0.18192	0.10136	0.10104	0.0994	0.161	0.15352	0.17836	0.1617	0.16946	0.16234	0.18282	0.1779	0.18576	0.10094	0.1006	0.09962	0.15024	0.14502	0.17152	0.14892	0.16116	0.14214	0.10116	0.10196	0.10092	0.1007	0.10058	0.09994	0.15334	0.16656	0.15848	0.14992	0.14696	0.15342	0.10018	0.10278	0.10146	0.1008	0.10224	0.09918	0.15138	0.14984	0.15088	0.15454	0.1565	0.1533	0.10116	0.1012	0.10106	0.10206	0.10252	0.09938	0.09992	0.10044	0.09976	0.10014	0.1	0.10042	0.1051	0.10054	0.10036	0.10164	0.09996
10	270	0.09924	0.09954	0.10016	0.0997	0.0999	0.1001	0.1005	0.10144	0.10088	0.10092	0.10158	0.10014	0.10018	0.19044	0.17942	0.17436	0.17586	0.1888	0.18384	0.17518	0.16694	0.17002	0.10042	0.10372	0.09924	0.16682	0.18298	0.19464	0.17432	0.17612	0.16966	0.20486	0.20692	0.20564	0.1013	0.10086	0.09942	0.1763	0.16656	0.19774	0.17738	0.18644	0.17856	0.2068	0.19982	0.21066	0.10084	0.10036	0.09946	0.16222	0.15496	0.1892	0.16046	0.1753	0.1518	0.101	0.10172	0.10082	0.10052	0.10042	0.09988	0.16644	0.18352	0.17242	0.1621	0.15726	0.16584	0.10014	0.10266	0.10132	0.10068	0.10216	0.09924	0.16372	0.16158	0.16302	0.16754	0.16952	0.16488	0.10116	0.1011	0.10098	0.10204	0.10244	0.09926	0.0999	0.1003	0.09972	0.10004	0.09986	0.1003	0.10498	0.10056	0.10034	0.1015	0.09994
11	300	0.0993	0.09956	0.10016	0.09986	0.09996	0.1002	0.10068	0.10154	0.101	0.101	0.10168	0.10014	0.10044	0.21138	0.19926	0.19222	0.19484	0.21036	0.20402	0.19828	0.18648	0.1906	0.1006	0.10372	0.09942	0.18334	0.2047	0.21908	0.19378	0.19422	0.1865	0.2385	0.23762	0.2382	0.10138	0.10106	0.09948	0.19686	0.18378	0.2235	0.19762	0.20868	0.19958	0.23968	0.22914	0.24522	0.10098	0.10062	0.09962	0.17816	0.16836	0.21232	0.17608	0.19392	0.16478	0.1011	0.10204	0.10096	0.10076	0.10056	0.10008	0.18312	0.20622	0.1913	0.17836	0.17086	0.18254	0.10032	0.10296	0.10148	0.10102	0.10242	0.09944	0.18008	0.17698	0.17924	0.18504	0.1868	0.18012	0.10128	0.1013	0.10108	0.10222	0.1026	0.09946	0.10012	0.10054	0.09986	0.10022	0.10008	0.10052	0.10522	0.10068	0.10038	0.10176	0.10016
