time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1	0	0.1004	0.11336	0.10312	0.09974	0.10646	0.09926	0.09942	0.09854	0.09942	0.09998	0.10206	0.10012	0.10566	0.1508	0.1424	0.1341	0.13944	0.14942	0.13914	0.13592	0.14398	0.13886	0.11342	0.10674	0.10232	0.1386	0.13368	0.14244	0.14814	0.15124	0.14416	0.14274	0.14508	0.14164	0.11526	0.10672	0.09966	0.13918	0.13228	0.1346	0.13744	0.13722	0.13742	0.14514	0.15042	0.14124	0.11736	0.10864	0.09936	0.14374	0.14306	0.1413	0.1473	0.14882	0.15058	0.11648	0.11674	0.11408	0.11474	0.10622	0.09862	0.14054	0.1419	0.14164	0.15578	0.14456	0.14438	0.11808	0.11492	0.12008	0.11688	0.1079	0.09912	0.14014	0.13846	0.14238	0.1432	0.1484	0.1445	0.11674	0.11574	0.11848	0.11764	0.10766	0.09874	0.10204	0.10454	0.10258	0.1042	0.10246	0.1013	0.10096	0.10094	0.10156	0.1029	0.09864
2	30	0.09822	0.10222	0.09898	0.09802	0.10746	0.09852	0.09882	0.09802	0.09886	0.09964	0.10054	0.09998	0.09886	0.13148	0.1239	0.11766	0.12432	0.13626	0.12494	0.12356	0.12834	0.12784	0.09984	0.10012	0.09938	0.1202	0.11404	0.12612	0.12734	0.13622	0.12634	0.12806	0.13018	0.1277	0.09874	0.099	0.09838	0.1223	0.1167	0.11826	0.12074	0.12092	0.12298	0.12768	0.1391	0.1276	0.0994	0.10016	0.09802	0.127	0.12436	0.12188	0.13124	0.12884	0.1331	0.09842	0.0986	0.09872	0.09878	0.0999	0.0981	0.12306	0.12286	0.12262	0.1345	0.12616	0.12732	0.0988	0.09834	0.10152	0.09882	0.09992	0.0997	0.12592	0.11896	0.12298	0.12422	0.12922	0.12786	0.09926	0.09876	0.10016	0.09936	0.09972	0.09848	0.0994	0.09914	0.09846	0.09908	0.09802	0.0982	0.09826	0.09856	0.09866	0.09954	0.09822
3	60	0.09822	0.10252	0.09908	0.09812	0.10776	0.09854	0.09878	0.09808	0.09876	0.09976	0.1006	0.10024	0.09898	0.1319	0.12622	0.11798	0.12562	0.14148	0.12812	0.12498	0.1305	0.13158	0.09996	0.10028	0.09942	0.12148	0.11512	0.12806	0.12768	0.13826	0.12814	0.1301	0.13282	0.13112	0.0988	0.09896	0.0985	0.124	0.11818	0.11992	0.12222	0.123	0.12568	0.12998	0.14302	0.13152	0.09938	0.10032	0.09812	0.13038	0.12628	0.12378	0.13592	0.13258	0.1362	0.09846	0.0987	0.09882	0.09874	0.09996	0.09828	0.12512	0.12494	0.12434	0.137	0.12988	0.13072	0.09898	0.09842	0.10166	0.0989	0.0999	0.09846	0.12878	0.1224	0.12516	0.12558	0.13288	0.13096	0.09932	0.09888	0.10026	0.0993	0.09972	0.0985	0.09936	0.09922	0.09852	0.09918	0.0981	0.09828	0.09832	0.09866	0.0988	0.09966	0.09828
4	90	0.0982	0.10212	0.099	0.09804	0.10778	0.09846	0.09868	0.09794	0.09862	0.09964	0.10048	0.09994	0.09886	0.13184	0.12768	0.11734	0.12558	0.1479	0.13222	0.12548	0.1308	0.13516	0.09994	0.10018	0.09924	0.12244	0.11598	0.12888	0.1276	0.14034	0.13028	0.13072	0.13404	0.13444	0.09876	0.09888	0.09844	0.12504	0.11934	0.1207	0.12248	0.12464	0.1273	0.13074	0.14492	0.13514	0.09918	0.10014	0.09806	0.13422	0.12784	0.12522	0.13896	0.13652	0.139	0.09834	0.09856	0.09876	0.09862	0.09974	0.09816	0.12676	0.12666	0.12494	0.1377	0.13292	0.13316	0.09888	0.09824	0.10154	0.09872	0.09972	0.1004	0.13132	0.12486	0.12634	0.12566	0.13544	0.1328	0.09922	0.09874	0.1002	0.09918	0.09962	0.09844	0.09926	0.09914	0.09846	0.09904	0.09802	0.09816	0.09822	0.09864	0.0988	0.09954	0.09818
5	120	0.09832	0.10256	0.09912	0.09812	0.10792	0.09846	0.09872	0.098	0.09864	0.09972	0.10052	0.10004	0.09894	0.13364	0.12904	0.1172	0.12602	0.15848	0.13772	0.12556	0.13092	0.1405	0.10002	0.10022	0.09912	0.1234	0.11686	0.12946	0.12748	0.14456	0.13336	0.13062	0.13426	0.13974	0.09878	0.09888	0.09852	0.12612	0.12032	0.12122	0.1224	0.1273	0.1307	0.13068	0.14516	0.1408	0.09924	0.10022	0.09812	0.13928	0.12904	0.12648	0.14066	0.14228	0.1433	0.09842	0.09868	0.0988	0.09868	0.09978	0.09828	0.12864	0.1283	0.12536	0.13824	0.13814	0.13752	0.09892	0.09832	0.10162	0.09886	0.0998	0.09846	0.13332	0.12686	0.1271	0.1257	0.1395	0.13622	0.0993	0.0988	0.10022	0.09936	0.0997	0.09852	0.09924	0.09914	0.0984	0.09908	0.09806	0.09824	0.09824	0.09864	0.09876	0.09958	0.09828
6	150	0.09824	0.10196	0.09908	0.09816	0.10794	0.0985	0.09866	0.09796	0.09858	0.09968	0.10044	0.09998	0.0989	0.13444	0.13038	0.11662	0.12546	0.17082	0.14474	0.12496	0.1303	0.14802	0.09998	0.10024	0.09932	0.12454	0.1175	0.12948	0.12696	0.15056	0.13794	0.1299	0.13376	0.14676	0.0988	0.09888	0.09852	0.12704	0.12136	0.1212	0.12314	0.13088	0.13496	0.1302	0.14434	0.14818	0.09916	0.10014	0.09806	0.14518	0.13008	0.12784	0.14072	0.14984	0.14906	0.09838	0.0986	0.09872	0.09862	0.09962	0.09824	0.13094	0.12998	0.12546	0.13784	0.14462	0.14294	0.09886	0.09824	0.1015	0.09884	0.0997	0.09832	0.13576	0.12856	0.12728	0.12552	0.14504	0.14038	0.0993	0.09876	0.10016	0.09914	0.0996	0.09836	0.09924	0.0991	0.09838	0.09908	0.09798	0.0982	0.09816	0.09866	0.09874	0.0995	0.09818
7	180	0.09834	0.1025	0.09916	0.09824	0.10752	0.09854	0.09876	0.09814	0.0987	0.09968	0.10054	0.1001	0.09902	0.13704	0.1319	0.1165	0.1254	0.19006	0.15552	0.12456	0.1299	0.15896	0.1	0.10026	0.09954	0.1261	0.11884	0.12966	0.12634	0.15828	0.1453	0.12946	0.13316	0.1568	0.09888	0.099	0.09862	0.12864	0.123	0.12138	0.12248	0.13642	0.14104	0.12982	0.1436	0.15888	0.09924	0.10022	0.09814	0.15396	0.13166	0.12974	0.141	0.16162	0.15768	0.09846	0.09866	0.09886	0.09872	0.09974	0.0984	0.13462	0.13238	0.12586	0.1383	0.15514	0.15206	0.09896	0.09838	0.1016	0.09888	0.09984	0.09844	0.13898	0.13088	0.12776	0.12574	0.1532	0.14726	0.09942	0.09884	0.10028	0.09922	0.09974	0.09844	0.09932	0.09916	0.09846	0.09918	0.09808	0.09822	0.09822	0.09878	0.09886	0.09964	0.09822
8	210	0.09834	0.10256	0.09908	0.0983	0.10754	0.09856	0.09872	0.0981	0.09868	0.09968	0.10056	0.10018	0.099	0.13974	0.13424	0.11626	0.12506	0.21426	0.17066	0.12422	0.12898	0.17384	0.09998	0.10026	0.09934	0.12826	0.12044	0.12988	0.12632	0.16932	0.15518	0.12906	0.13264	0.17062	0.0988	0.0989	0.09864	0.1305	0.1248	0.12152	0.1227	0.1439	0.14942	0.12928	0.14296	0.1738	0.09918	0.10022	0.09818	0.1662	0.1334	0.1321	0.14104	0.17678	0.16922	0.09842	0.09868	0.0988	0.09872	0.09966	0.09838	0.13934	0.13516	0.12622	0.13808	0.16958	0.16322	0.09892	0.09832	0.1016	0.09886	0.09982	0.0985	0.1433	0.13362	0.12828	0.12572	0.16464	0.1564	0.09936	0.09886	0.10018	0.0992	0.0997	0.09842	0.0992	0.09918	0.09842	0.0992	0.09804	0.09822	0.09824	0.09876	0.0988	0.09964	0.09824
9	240	0.0984	0.10278	0.09918	0.09838	0.10756	0.09856	0.09876	0.09814	0.0987	0.0997	0.10058	0.10022	0.0991	0.14364	0.13742	0.1161	0.12528	0.24956	0.19214	0.12412	0.12856	0.1947	0.10002	0.10024	0.09942	0.13084	0.12252	0.13008	0.12574	0.18418	0.16876	0.12864	0.13196	0.1904	0.0989	0.09894	0.0987	0.13304	0.1274	0.12174	0.12302	0.15424	0.1612	0.12908	0.14214	0.19446	0.09918	0.10024	0.09818	0.18262	0.13582	0.13514	0.14118	0.19856	0.18574	0.09844	0.09868	0.09888	0.09878	0.09972	0.09838	0.1458	0.13896	0.12704	0.13842	0.19042	0.17926	0.09892	0.09832	0.10164	0.09888	0.09988	0.09852	0.14908	0.1371	0.12902	0.12588	0.181	0.16938	0.09946	0.09888	0.10022	0.09926	0.0998	0.09848	0.09928	0.0992	0.0984	0.09922	0.09808	0.09828	0.0982	0.09878	0.0988	0.0996	0.09818
10	270	0.09846	0.10286	0.09922	0.09848	0.10744	0.09864	0.09878	0.09826	0.09868	0.09972	0.10058	0.10038	0.09918	0.14744	0.14116	0.11612	0.12512	0.29498	0.22196	0.12396	0.12814	0.22356	0.1001	0.10032	0.09936	0.13442	0.12534	0.13054	0.12604	0.20552	0.18924	0.12856	0.1317	0.21724	0.09888	0.099	0.09874	0.13622	0.13072	0.12204	0.12302	0.16838	0.17748	0.1289	0.14156	0.22284	0.0992	0.1003	0.09824	0.20518	0.13894	0.1392	0.1416	0.22882	0.20884	0.0985	0.0987	0.09884	0.0988	0.09972	0.09846	0.15424	0.14358	0.12806	0.13874	0.21868	0.20078	0.099	0.09834	0.10172	0.09892	0.0999	0.09852	0.15658	0.14134	0.12998	0.12616	0.20312	0.18706	0.09944	0.09896	0.10024	0.09926	0.0998	0.09848	0.0993	0.0992	0.0985	0.09924	0.09804	0.09834	0.09824	0.09884	0.09888	0.09964	0.0983
