time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1	0	0.09566	0.09598	0.09578	0.09486	0.0955	0.09556	0.09604	0.09752	0.09532	0.0971	0.09894	0.09694	0.09554	0.1211	0.11932	0.12346	0.12522	0.12532	0.12106	0.12354	0.1197	0.12328	0.10404	0.09646	0.09622	0.11786	0.1183	0.11966	0.1238	0.12054	0.12308	0.12484	0.12356	0.12804	0.1041	0.09574	0.0955	0.11686	0.11908	0.12734	0.12384	0.12316	0.12284	0.1175	0.12054	0.1208	0.10436	0.09598	0.0955	0.11554	0.11498	0.12216	0.1194	0.12346	0.12268	0.10274	0.10348	0.10444	0.10408	0.09658	0.0956	0.11516	0.11504	0.12476	0.12158	0.12446	0.12722	0.10326	0.10264	0.10412	0.10496	0.0987	0.09594	0.11358	0.11558	0.1181	0.11946	0.11994	0.12434	0.102	0.1016	0.10278	0.1	0.09678	0.09514	0.09586	0.09684	0.09676	0.0953	0.09498	0.0953	0.09528	0.09524	0.09582	0.0967	0.09578
2	30	0.09544	0.09556	0.09542	0.09456	0.09532	0.09516	0.09558	0.097	0.095	0.09618	0.09672	0.09662	0.09524	0.11662	0.11364	0.11808	0.11822	0.11976	0.11468	0.11674	0.11332	0.11652	0.09546	0.09534	0.09586	0.11396	0.11386	0.115	0.11934	0.11342	0.1163	0.11792	0.11536	0.11844	0.0956	0.0955	0.0953	0.116	0.1161	0.12248	0.11882	0.1173	0.11684	0.11102	0.11352	0.11294	0.09584	0.09558	0.09516	0.11686	0.11252	0.11886	0.11562	0.1168	0.11542	0.09518	0.09578	0.09574	0.09596	0.09652	0.09524	0.1166	0.11416	0.1205	0.11804	0.11736	0.11968	0.09616	0.09578	0.09572	0.09716	0.09834	0.09564	0.11508	0.1156	0.1151	0.11538	0.113	0.11682	0.09572	0.09544	0.09692	0.09724	0.09634	0.09484	0.09564	0.09646	0.09658	0.09502	0.09472	0.09494	0.09492	0.09488	0.097	0.0963	0.09544
3	60	0.09552	0.09554	0.09554	0.09462	0.0954	0.09522	0.09564	0.09722	0.0951	0.0964	0.09686	0.09674	0.09528	0.11802	0.11486	0.12002	0.12084	0.12252	0.11692	0.11922	0.1152	0.1183	0.09558	0.09552	0.09592	0.11622	0.1156	0.11676	0.12218	0.11554	0.11904	0.12056	0.11726	0.12102	0.09566	0.0956	0.09528	0.1179	0.11782	0.12544	0.12134	0.1198	0.11956	0.11384	0.11644	0.1154	0.09594	0.09566	0.09532	0.11914	0.11472	0.12156	0.11882	0.11944	0.11794	0.09524	0.09578	0.09584	0.09608	0.09644	0.09528	0.11872	0.11586	0.1227	0.12206	0.1199	0.12202	0.09616	0.09588	0.09582	0.09732	0.0985	0.09572	0.11714	0.11788	0.11756	0.11808	0.11534	0.11912	0.09582	0.0955	0.09708	0.09728	0.09642	0.09478	0.09558	0.09652	0.09654	0.095	0.09472	0.09496	0.09494	0.09494	0.09636	0.09638	0.09548
4	90	0.0955	0.09556	0.09568	0.0947	0.09548	0.09538	0.09582	0.09744	0.09516	0.09654	0.09692	0.09682	0.09526	0.11988	0.1165	0.12278	0.12256	0.12558	0.119	0.12252	0.1178	0.12104	0.09572	0.0956	0.09594	0.1187	0.11784	0.11902	0.12546	0.11782	0.12168	0.12342	0.11954	0.12336	0.09576	0.09566	0.0953	0.12002	0.1198	0.12828	0.12384	0.12286	0.12224	0.1172	0.11826	0.11784	0.09592	0.09574	0.09532	0.1213	0.11716	0.1244	0.12204	0.12202	0.1205	0.0953	0.09584	0.09596	0.09612	0.09652	0.09534	0.1211	0.11796	0.12558	0.12622	0.12252	0.12502	0.09624	0.09592	0.09588	0.09734	0.09848	0.09566	0.11932	0.12	0.11958	0.12066	0.11732	0.12114	0.09588	0.09554	0.09714	0.09734	0.09654	0.09472	0.09552	0.09656	0.09654	0.095	0.09472	0.09492	0.0949	0.0949	0.09644	0.09642	0.09548
5	120	0.09564	0.09568	0.09576	0.09478	0.09554	0.09538	0.09584	0.09754	0.09518	0.09664	0.09702	0.09686	0.09524	0.12266	0.11914	0.12664	0.1257	0.13002	0.12212	0.12672	0.121	0.12434	0.09572	0.09558	0.09604	0.12162	0.12082	0.122	0.12962	0.12098	0.12562	0.12768	0.12252	0.12616	0.09578	0.09568	0.09526	0.12312	0.12272	0.13266	0.12784	0.12672	0.12576	0.12152	0.12124	0.1211	0.09596	0.09574	0.0953	0.12478	0.12002	0.12846	0.12622	0.12572	0.124	0.0953	0.0959	0.09596	0.09606	0.0965	0.09534	0.12442	0.12078	0.1293	0.13194	0.12642	0.12912	0.09632	0.09594	0.09594	0.09726	0.0985	0.09566	0.12234	0.12308	0.12266	0.12438	0.1202	0.12406	0.09588	0.09544	0.09718	0.0973	0.09652	0.09474	0.0955	0.09658	0.09652	0.09502	0.0948	0.0949	0.09496	0.09498	0.0963	0.0965	0.09546
6	150	0.09566	0.09566	0.0957	0.09474	0.09548	0.09538	0.09586	0.0974	0.09524	0.09664	0.09698	0.0968	0.09526	0.1268	0.12282	0.13168	0.12934	0.13578	0.12612	0.13202	0.12532	0.12894	0.09568	0.09552	0.09602	0.12486	0.1249	0.12616	0.13542	0.1255	0.13092	0.13276	0.12644	0.13008	0.09578	0.09562	0.09526	0.12734	0.1267	0.1377	0.13296	0.13206	0.13068	0.12602	0.12518	0.1253	0.09592	0.09572	0.09534	0.12938	0.1236	0.13352	0.1313	0.131	0.12874	0.0954	0.09588	0.096	0.09608	0.09656	0.09536	0.12926	0.12456	0.1339	0.13824	0.13174	0.13466	0.09632	0.09596	0.09596	0.09716	0.09852	0.09562	0.12642	0.12722	0.12658	0.1293	0.12434	0.12816	0.09586	0.09552	0.09712	0.09736	0.09658	0.0947	0.09554	0.09662	0.09654	0.09504	0.09482	0.09496	0.09498	0.09496	0.09644	0.0965	0.09546
7	180	0.0956	0.09556	0.09566	0.0947	0.09548	0.09532	0.0958	0.0974	0.09516	0.09658	0.0969	0.09676	0.09528	0.13286	0.1283	0.13904	0.13606	0.14436	0.13228	0.13996	0.13138	0.13536	0.0957	0.09546	0.09602	0.12964	0.13078	0.13232	0.1436	0.1324	0.13878	0.14034	0.1322	0.13654	0.0957	0.0956	0.09516	0.1335	0.1326	0.14562	0.14018	0.13988	0.13772	0.13286	0.13124	0.13182	0.09586	0.09562	0.09528	0.13622	0.12862	0.14108	0.13892	0.13876	0.1359	0.09532	0.0958	0.09588	0.09602	0.09646	0.09534	0.13632	0.13028	0.14104	0.14774	0.13994	0.14254	0.09622	0.09592	0.09588	0.09726	0.0984	0.09562	0.13246	0.13336	0.13248	0.13646	0.13054	0.13464	0.09582	0.09542	0.0971	0.09728	0.09646	0.09462	0.09542	0.09662	0.09646	0.09492	0.09474	0.09492	0.0949	0.09496	0.09672	0.09644	0.09534
8	210	0.09568	0.09564	0.09566	0.0947	0.09544	0.09532	0.09576	0.09752	0.09514	0.09658	0.09688	0.09676	0.09532	0.14128	0.13598	0.1493	0.14496	0.15624	0.14096	0.15088	0.14022	0.14458	0.09562	0.09548	0.09596	0.13596	0.1388	0.14086	0.15544	0.14206	0.14956	0.15128	0.14038	0.1456	0.0956	0.09552	0.09518	0.14216	0.14114	0.15662	0.15094	0.1508	0.14814	0.1426	0.13984	0.1408	0.09584	0.09564	0.09528	0.14602	0.13568	0.15202	0.14952	0.14938	0.14556	0.09532	0.09582	0.09592	0.096	0.09644	0.0953	0.14622	0.13852	0.151	0.1612	0.15114	0.15352	0.0963	0.09588	0.09588	0.09738	0.09838	0.09558	0.14094	0.14202	0.14038	0.14614	0.13864	0.14282	0.09578	0.09546	0.09704	0.09728	0.09644	0.09458	0.09546	0.09662	0.09648	0.09494	0.09476	0.09492	0.09482	0.0949	0.0966	0.0964	0.09536
9	240	0.09576	0.09564	0.09574	0.0947	0.09548	0.09538	0.09586	0.0976	0.09524	0.09654	0.09698	0.09674	0.09528	0.15344	0.1468	0.16408	0.15718	0.17322	0.15334	0.16666	0.15276	0.15776	0.09566	0.09558	0.09614	0.1451	0.15048	0.15338	0.17148	0.15572	0.1647	0.1668	0.15194	0.15776	0.09564	0.0956	0.0952	0.15456	0.15342	0.1727	0.16628	0.16694	0.16306	0.15612	0.15182	0.15314	0.09586	0.09566	0.09526	0.1598	0.14562	0.16746	0.16478	0.16472	0.15966	0.09536	0.09584	0.09596	0.09604	0.0965	0.09538	0.16036	0.15028	0.16544	0.17948	0.16772	0.16962	0.0963	0.09592	0.09598	0.0973	0.09842	0.09558	0.15322	0.1547	0.15208	0.16024	0.15046	0.1552	0.0958	0.09546	0.0971	0.0973	0.09652	0.0946	0.09544	0.0966	0.09646	0.09492	0.09476	0.0949	0.09484	0.09488	0.09654	0.09642	0.09544
10	270	0.09578	0.09576	0.09584	0.09476	0.09548	0.0954	0.09594	0.09784	0.09526	0.0966	0.09706	0.09682	0.0954	0.17032	0.16198	0.18458	0.175	0.19688	0.17068	0.18812	0.16974	0.17614	0.09576	0.09556	0.09614	0.15756	0.1671	0.17026	0.19374	0.17478	0.18638	0.18806	0.16872	0.17492	0.09568	0.09564	0.09522	0.17182	0.17084	0.19374	0.1874	0.18886	0.18432	0.17474	0.1683	0.17052	0.09588	0.09568	0.09528	0.1793	0.15958	0.18892	0.18592	0.18646	0.17948	0.09534	0.09586	0.096	0.096	0.09654	0.09538	0.18026	0.16696	0.18546	0.20564	0.19072	0.1925	0.0963	0.09594	0.09598	0.09738	0.09834	0.09558	0.17012	0.17238	0.16824	0.17996	0.167	0.17212	0.09578	0.09548	0.09718	0.09732	0.09646	0.09464	0.09546	0.09658	0.0964	0.09494	0.09476	0.09486	0.09482	0.09494	0.09708	0.09644	0.09542
